title,price_from,wasPrice,location,sleeps,bedrooms,pets,customer_ratings,hot_tub,provider,date_scraped,url
Cherry Lodge,1027,was £1269,"Washford near Williton, Somerset",2,1,No,,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Bardon/Cherry-Lodge-998974.html?_hsearch=220406624df6d73f2f6&_price=1027&_display=1#duration=7&start=2022-08-20&changeover=6
2 Old Row,575,was £848,"Greenhead near Haltwhistle, Cumbria & The Lake District",2,1,Yes,4.7,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Bankfoot/2-Old-Row-1062782.html?_hsearch=220406624df6d849143&_price=575&_display=1#duration=7&start=2022-08-19&changeover=5
Harbour View Cottage,963,was £1415,"Scarborough, North York Moors & Coast",6,3,Yes,3.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Old-and-East-Harbours/Harbour-View-Cottage-936101.html?_hsearch=220406624df6d84c210&_price=963&_display=1#duration=7&start=2022-08-19&changeover=5
Derwent Edge,784,was £1074,"Portinscale, Cumbria & The Lake District",4,2,Yes,3.9,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Ayrshire-and-Dumfries-Galloway-Ullock/Derwent-Edge-972278.html?_hsearch=220406624df6d84f483&_price=784&_display=1#duration=7&start=2022-08-19&changeover=5
Jackdaw Cottage,1078,was £1527,"Blockley, Gloucestershire",4,2,Yes,4.5,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Gloucestershire-Sleepy-Hollow-Farm-Park/Jackdaw-Cottage-1091208.html?_hsearch=220406624df6d852694&_price=1078&_display=1#duration=7&start=2022-08-19&changeover=5
Riber View Barn,560,was £826,"Ashover, Peak District & Derbyshire Dales",4,2,Yes,4.7,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Holestone/Riber-View-Barn-996351.html?_hsearch=220406624df6d855f13&_price=560&_display=1#duration=7&start=2022-08-19&changeover=5
Pendeen,1584,was £2070,"Par, Cornwall",6,3,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Par/Pendeen-1068462.html?_hsearch=220406624df6d86946d&_price=1584&_display=1#duration=7&start=2022-08-20&changeover=6
Kestrel Cottage,611,was £846,"Beckside near Cartmel, Cumbria & The Lake District",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Beck-Side/Kestrel-Cottage-952692.html?_hsearch=220406624df6d86bee2&_price=611&_display=1#duration=7&start=2022-08-19&changeover=5
18 Old Court,762,was £938,"Gulval near Penzance, Cornwall",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Gulval/18-Old-Court-939306.html?_hsearch=220406624df6d86f09e&_price=762&_display=1#duration=7&start=2022-08-20&changeover=6
Chestnuts Barn,608,was £842,"Holbrook, Derbyshire, Peak District & Derbyshire Dales",4,2,Yes,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Holbrook/Chestnuts-Barn-1070143.html?_hsearch=220406624df6d8721c5&_price=608&_display=1#duration=7&start=2022-08-19&changeover=5
Bobbin Cottage,668,was £988,"Matlock, Peak District & Derbyshire Dales",6,3,Yes,4.7,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Farley/Bobbin-Cottage-963763.html?_hsearch=220406624df6d874bbf&_price=668&_display=1#duration=7&start=2022-08-19&changeover=5
West Burnbank,713,was £989,"Tarset near Bellingham, Northumberland",4,2,Yes,4.8,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Northumbria-Northumberland-Burnbank/West-Burnbank-1006969.html?_hsearch=220406624df6d876ffd&_price=713&_display=1#duration=7&start=2022-08-20&changeover=6
Cambridge Lodge,1220,was £1694,"Wensley near Matlock, Peak District & Derbyshire Dales",6,3,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Darley-Bridge/Cambridge-Lodge-903901.html?_hsearch=220406624df6d879af5&_price=1220&_display=1#duration=7&start=2022-08-20&changeover=6
The Hideout,894,was £1228,"Selsey, Sussex",2,1,Yes,4.7,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Hampshire-Selsey/The-Hideout-1080901.html?_hsearch=220406624df6d87d2b1&_price=894&_display=1#duration=7&start=2022-08-20&changeover=6
Corner Cottage,921,was £1352,"Bakewell, Peak District & Derbyshire Dales",6,3,Yes,4.7,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Bakewell/Corner-Cottage-926401.html?_hsearch=220406624df6d87fdff&_price=921&_display=1#duration=7&start=2022-08-19&changeover=5
The Cider Press,713,,"Coppleridge near Motcombe, Dorset",3,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/DorsetSomerset-Motcombe/The-Cider-Press-957188.html?_hsearch=220406624df6d8828c7&_price=713&_display=1#duration=7&start=2022-08-19&changeover=5
Hedgehog Hideaway,828,was £1136,"Lindale, near Grange-over-Sands, Cumbria & The Lake District",4,2,Yes,4.4,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Newby-Bridge/Hedgehog-Hideaway-1040872.html?_hsearch=220406624df6d886ed6&_price=828&_display=1#duration=7&start=2022-08-20&changeover=6
Jasmine at Magnolia Lake,808,was £1038,"Mamhead near Dawlish, Devon",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Westley-Manor-Fm/Jasmine-at-Magnolia-Lake-1060791.html?_hsearch=220406624df6d88a414&_price=808&_display=1#duration=7&start=2022-08-19&changeover=5
Angel by the Sea,807,was £1106,"Bridlington, Vale of York & Yorkshire Wolds",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Hilderthorpe/Angel-by-the-Sea-1010022.html?_hsearch=220406624df6d88fc86&_price=807&_display=1#duration=7&start=2022-08-19&changeover=5
Giddy Goose,1419,was £2109,"Windermere, Cumbria & The Lake District",7,4,Yes,4.9,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Windermere/Giddy-Goose-992355.html?_hsearch=220406624df6d894f64&_price=1419&_display=1#duration=7&start=2022-08-19&changeover=5
Barngreen,1255,was £1743,"Denmead, Hampshire",7,4,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Hampshire-Mead-End/Barngreen-932215.html?_hsearch=220406624df6d8a7573&_price=1255&_display=1#duration=7&start=2022-08-20&changeover=6
The Sail Loft,2703,,"St Ives, Cornwall",4,3,Yes,4.9,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-St-Ives/The-Sail-Loft-1073845.html?_hsearch=220406624df6d9dc5e4&_price=2703&_display=1#duration=7&start=2022-08-23&changeover=2
High Corner,920,was £1264,"Keswick, Cumbria & The Lake District",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Ayrshire-and-Dumfries-Galloway-Keswick/High-Corner-1042907.html?_hsearch=220406624df6d9e02e4&_price=920&_display=1#duration=7&start=2022-08-20&changeover=6
Ninfield Apartment,704,was £976,"Hailsham, Sussex",2,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Sussex-Hailsham/Ninfield-Apartment-1034011.html?_hsearch=220406624df6d9e516d&_price=704&_display=1#duration=7&start=2022-08-19&changeover=5
14 Silverlands Close,606,was £839,"Buxton, Peak District & Derbyshire Dales",4,2,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Buxton/14-Silverlands-Close-30541.html?_hsearch=220406624df6d9e9a4b&_price=606&_display=1#duration=7&start=2022-08-19&changeover=5
Rectory Farm Lodge,1219,,"Queen Camel near Yeovil, Somerset",6,3,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/DorsetSomerset-Queen-Camel/Rectory-Farm-Lodge-957128.html?_hsearch=220406624df6d9ed832&_price=1219&_display=1#duration=7&start=2022-08-19&changeover=5
"The Coach House, The Grove",886,was £1093,"Combe Martin, Devon",2,1,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Castle-The/The-Coach-House-The-Grove-1039698.html?_hsearch=220406624df6d9f358a&_price=886&_display=1#duration=7&start=2022-08-19&changeover=5
Cropvale Lodge,908,,"Cropthorne near Pershore, Worcestershire",4,2,No,,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Gloucestershire-Cropthorne/Cropvale-Lodge-17321.html?_hsearch=220406624df6da02aa3&_price=908&_display=1#duration=7&start=2022-08-20&changeover=6
Low Brow Barn,1470,was £2186,"Ambleside, Cumbria & The Lake District",4,2,Yes,4.6,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Ambleside/Low-Brow-Barn-972468.html?_hsearch=220406624df6da0717d&_price=1470&_display=1#duration=7&start=2022-08-19&changeover=5
Kings Cottage,527,was £732,"Ashbourne, Peak District & Derbyshire Dales",2,1,No,4.7,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Ashbourne/Kings-Cottage-1053688.html?_hsearch=220406624df6da0b59d&_price=527&_display=1#duration=7&start=2022-08-19&changeover=5
42 Stanley Road,853,was £1171,"Wick, Littlehampton, Sussex",5,3,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Sussex-Wick/42-Stanley-Road-1076257.html?_hsearch=220406624df6da11c56&_price=853&_display=1#duration=7&start=2022-08-19&changeover=5
Penyghent View,670,was £928,"Rathmell near Settle, Yorkshire Dales - South",4,2,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Rathmell/Penyghent-View-914777.html?_hsearch=220406624df6da18888&_price=670&_display=1#duration=7&start=2022-08-19&changeover=5
Glenwyllan,1399,was £2079,"Chester, North Wales & Snowdonia",8,4,Yes,4.7,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-Wales-Snowdonia-Chester/Glenwyllan-997019.html?_hsearch=220406624df6da1ed82&_price=1399&_display=1#duration=7&start=2022-08-19&changeover=5
Florence Cottage,631,was £932,"Hinderwell, North York Moors & Coast",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Hinderwell/Florence-Cottage-934476.html?_hsearch=220406624df6da2604d&_price=631&_display=1#duration=7&start=2022-08-19&changeover=5
Ashfold cottage,610,was £844,"Hallbankgate, Cumbria & The Lake District",4,2,Yes,4.6,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Clement-Leazes/Ashfold-cottage-1073742.html?_hsearch=220406624df6da2b272&_price=610&_display=1#duration=7&start=2022-08-19&changeover=5
A River Runs By,680,was £942,"Staveley, Cumbria & The Lake District",3,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Piked-Howe/A-River-Runs-By-1041398.html?_hsearch=220406624df6da30f38&_price=680&_display=1#duration=7&start=2022-08-20&changeover=6
4 Dartmouth House,1174,was £1690,"Dartmouth, Devon",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Dartmouth/4-Dartmouth-House-995063.html?_hsearch=220406624df6da45ece&_price=1174&_display=1#duration=7&start=2022-08-20&changeover=6
Snowy Owl Barn,538,was £748,"Shipdham, Norfolk",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Norfolk-Crowshill/Snowy-Owl-Barn-913976.html?_hsearch=220406624df6da4a0b2&_price=538&_display=1#duration=7&start=2022-08-19&changeover=5
Park View,568,was £786,"Whitby, North York Moors & Coast",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Whitby/Park-View-906067.html?_hsearch=220406624df6da4eb37&_price=568&_display=1#duration=7&start=2022-08-19&changeover=5
The Old Custom House,1172,was £1543,"Blythburgh near Wangford, Suffolk",6,3,Yes,4.9,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Suffolk-Blythburgh/The-Old-Custom-House-1080845.html?_hsearch=220406624df6da53702&_price=1172&_display=1#duration=7&start=2022-08-19&changeover=5
10 Oceanside,1112,was £1533,"Ilfracombe, Devon",4,2,Yes,4.1,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Chambercombe/10-Oceanside-963840.html?_hsearch=220406624df6da57d99&_price=1112&_display=1#duration=7&start=2022-08-19&changeover=5
Hazelmere Cottage,527,was £671,"Creswell, Peak District & Derbyshire Dales",4,2,Yes,4.8,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Lincolnshire-Hollin-Hill/Hazelmere-Cottage-1021053.html?_hsearch=220406624df6db759bc&_price=527&_display=1#duration=7&start=2022-08-19&changeover=5
Coln Cottage,583,was £807,"Stow-On-The-Wold, Gloucestershire",2,1,Yes,4.9,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Gloucestershire-Maugersbury-Manor/Coln-Cottage-1079447.html?_hsearch=220406624df6db78faf&_price=583&_display=1#duration=7&start=2022-08-19&changeover=5
3 Old Laundry Mews,501,was £696,"Ingleton, Three Peaks Country, Yorkshire Dales - South",3,2,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Ingleton/3-Old-Laundry-Mews-950063.html?_hsearch=220406624df6db7c957&_price=501&_display=1#duration=7&start=2022-08-19&changeover=5
Willow Brook,2885,was £3975,"Glossop, Peak District & Derbyshire Dales",12,6,Yes,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Hobroyd/Willow-Brook-953260.html?_hsearch=220406624df6db7f82b&_price=2885&_display=1#duration=7&start=2022-08-19&changeover=5
Tukes Cottage,1033,was £1462,"Chipping Norton, Oxfordshire",4,3,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Oxfordshire-Chipping-Norton/Tukes-Cottage-1091338.html?_hsearch=220406624df6db82c81&_price=1033&_display=1#duration=7&start=2022-08-19&changeover=5
The Roost,434,was £642,"East Tytherley, Hampshire",2,1,No,4.8,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/DorsetSomerset-East-Tytherley/The-Roost-918718.html?_hsearch=220406624df6db85e17&_price=434&_display=1#duration=7&start=2022-08-19&changeover=5
The Shed,1130,was £1558,"Coxhoe, Yorkshire Dales - North",8,4,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Yorkshire-Dales-North-Cornforth/The-Shed-4452.html?_hsearch=220406624df6db8908f&_price=1130&_display=1#duration=7&start=2022-08-19&changeover=5
Cath's Cottage,736,was £1090,"Bowness, Cumbria & The Lake District",4,2,Yes,4.7,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Bowness-On-Windermere/Caths-Cottage-1042169.html?_hsearch=220406624df6db8c111&_price=736&_display=1#duration=7&start=2022-08-20&changeover=6
Wychwood,855,was £1253,"Grosmont, North York Moors & Coast",5,3,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-York-Moors-Coast-Grosmont/Wychwood-1073240.html?_hsearch=220406624df6db8f277&_price=855&_display=1#duration=7&start=2022-08-19&changeover=5
Simples,1335,was £1915,"Dartmouth, Devon",4,2,Yes,4.8,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Dartmouth/Simples-1057876.html?_hsearch=220406624df6db927f5&_price=1335&_display=1#duration=7&start=2022-08-19&changeover=5
Acorn Lodge,1120,was £1544,"Pony Meadow 6, White Cross Bay near Windermere, Cumbria & The Lake District",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Windermere/Acorn-Lodge-1077210.html?_hsearch=220406624df6dbb07b2&_price=1120&_display=1#duration=7&start=2022-08-19&changeover=5
Grange View,847,was £1162,"Kirkby Malzeard, Yorkshire Dales - North",6,3,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Yorkshire-Dales-South-Kirkby-Malzeard/Grange-View-1065142.html?_hsearch=220406624df6dbb3daf&_price=847&_display=1#duration=7&start=2022-08-19&changeover=5
9 Tydd Low Road,801,was £1098,"Tydd St Mary, Lincolnshire",5,3,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lincolnshire-Onslow-Fm/9-Tydd-Low-Road-1056589.html?_hsearch=220406624df6dbb7053&_price=801&_display=1#duration=7&start=2022-08-20&changeover=6
Postmaster's Lodging,1150,was £1596,"Winchcombe, Gloucestershire",6,3,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Gloucestershire-Winchcombe/Postmasters-Lodging-976759.html?_hsearch=220406624df6dbcbf20&_price=1150&_display=1#duration=7&start=2022-08-19&changeover=5
Sunlight Soap Cottage,746,was £1105,"Port Sunlight, North Wales & Snowdonia",4,2,No,4.5,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/North-Wales-Snowdonia-Port-Sunlight/Sunlight-Soap-Cottage-990719.html?_hsearch=220406624df6dbcfd31&_price=746&_display=1#duration=7&start=2022-08-19&changeover=5
Mermaid Cottage,1351,was £1878,"Newlyn, Cornwall",5,3,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Newlyn/Mermaid-Cottage-1066449.html?_hsearch=220406624df6dbd3ad7&_price=1351&_display=1#duration=7&start=2022-08-20&changeover=6
The Dillen's Cottage,957,was £1316,"Ettington, Warwickshire",4,2,Yes,4.4,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Warwickshire-Ettington/The-Dillens-Cottage-1082750.html?_hsearch=220406624df6dbd8e67&_price=957&_display=1#duration=7&start=2022-08-19&changeover=5
Enderleigh,1054,was £1452,"St Ives, Cornwall",4,2,No,3.8,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Porthmeor-Beach/Enderleigh-1073161.html?_hsearch=220406624df6dbdd233&_price=1054&_display=1#duration=7&start=2022-08-20&changeover=6
Splatt House,1088,was £1500,"Mount Hawke, Cornwall",6,3,Yes,4.5,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Mount-Hawke/Splatt-House-976383.html?_hsearch=220406624df6dbe1136&_price=1088&_display=1#duration=7&start=2022-08-20&changeover=6
Porri Nook,486,was £720,"Skipton, Yorkshire Dales - South",2,1,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Yorkshire-Dales-South-Skipton/Porri-Nook-966595.html?_hsearch=220406624df6dbe4efb&_price=486&_display=1#duration=7&start=2022-08-20&changeover=6
Basford View,503,was £699,"Cheddleton near Leek, Peak District & Derbyshire Dales",4,2,No,4.8,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-North-Wales-Snowdonia-Cheddleton/Basford-View-25258.html?_hsearch=220406624df6dcf2686&_price=503&_display=1#duration=7&start=2022-08-20&changeover=6
Ghyll Bank Bungalow,734,was £1087,"Staveley near Windermere, Cumbria & The Lake District",3,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Staveley/Ghyll-Bank-Bungalow-2027.html?_hsearch=220406624df6dd04e3c&_price=734&_display=1#duration=7&start=2022-08-19&changeover=5
Lawn Farm Cottage,1031,was £1420,"Churcham near Gloucester, Gloucestershire",6,3,Yes,4.5,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Gloucestershire-Churcham/Lawn-Farm-Cottage-1050419.html?_hsearch=220406624df6dd2a124&_price=1031&_display=1#duration=7&start=2022-08-19&changeover=5
Moor Lane House,611,was £846,"Elton near Winster, Peak District & Derbyshire Dales",4,2,Yes,4.9,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Elton/Moor-Lane-House-932885.html?_hsearch=220406624df6dd30bee&_price=611&_display=1#duration=7&start=2022-08-19&changeover=5
Lake Victoria Cottage,881,was £1250,"Dartmouth, Devon",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Dartmouth/Lake-Victoria-Cottage-1065026.html?_hsearch=220406624df6dd3773f&_price=881&_display=1#duration=7&start=2022-08-18&changeover=4
Mosslea,514,was £714,"Bowness, Cumbria & The Lake District",2,1,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Bowness-On-Windermere/Mosslea-1042056.html?_hsearch=220406624df6dd3ee1a&_price=514&_display=1#duration=7&start=2022-08-20&changeover=6
"Tithe Barn, Lyneham",1995,was £2958,"Lyneham, Oxfordshire",8,4,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Oxfordshire-Lyneham/Tithe-Barn-Lyneham-988828.html?_hsearch=220406624df6dd48379&_price=1995&_display=1#duration=7&start=2022-08-19&changeover=5
Gables Cottage,646,was £895,"Market Rasen, Lincolnshire",4,2,Yes,4.8,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lincolnshire-North-Willingham/Gables-Cottage-987480.html?_hsearch=220406624df6dd4cdbb&_price=646&_display=1#duration=7&start=2022-08-20&changeover=6
Brookview,1337,was £1667,"Callington, Cornwall",6,3,Yes,4.9,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Honicombe/Brookview-988257.html?_hsearch=220406624df6dd51fd2&_price=1337&_display=1#duration=7&start=2022-08-19&changeover=5
2A Bridge Apartments,451,was £564,"Masham near Ripon, Yorkshire Dales - South",2,1,Yes,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Yorkshire-Dales-South-Masham/2A-Bridge-Apartments-914862.html?_hsearch=220406624df6dd62f52&_price=451&_display=1#duration=7&start=2022-08-19&changeover=5
Howman House,1223,was £1745,"Stow-on-the-Wold, Gloucestershire",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Gloucestershire-Maugersbury-Manor/Howman-House-1091425.html?_hsearch=220406624df6dd6755d&_price=1223&_display=1#duration=7&start=2022-08-19&changeover=5
The Little Net Loft,1290,was £1792,"Mousehole near Penzance, Cornwall",2,1,No,4.6,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Trevithal/The-Little-Net-Loft-1080143.html?_hsearch=220406624df6dd6afbc&_price=1290&_display=1#duration=7&start=2022-08-19&changeover=5
Beulah,696,was £965,"Axbridge, Somerset",2,1,No,5.0,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/DorsetSomerset-Axbridge/Beulah-1053944.html?_hsearch=220406624df6dd6ea04&_price=696&_display=1#duration=7&start=2022-08-19&changeover=5
The Old Cottage,727,was £1008,"Wragby, Lincolnshire",6,3,Yes,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lincolnshire-Beck-House-Fm/The-Old-Cottage-969375.html?_hsearch=220406624df6dd7159e&_price=727&_display=1#duration=7&start=2022-08-19&changeover=5
The Manor House,2429,was £3373,"Marston Montgomery near Rocester, Peak District & Derbyshire Dales",12,6,No,4.7,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Thurvaston/The-Manor-House-1088489.html?_hsearch=220406624df6dd74add&_price=2429&_display=1#duration=7&start=2022-08-19&changeover=5
The Saltings,1099,was £1515,"Mevagissey, Cornwall",4,2,Yes,4.5,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-Penwarne/The-Saltings-1020381.html?_hsearch=220406624df6dd76bb5&_price=1099&_display=1#duration=7&start=2022-08-19&changeover=5
Buttermere,558,was £772,"Spark Bridge near Greenodd, Cumbria & The Lake District",3,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Lake-District-Cumbria-The-Lake-District-Spark-Bridge/Buttermere-30135.html?_hsearch=220406624df6dd78ff8&_price=558&_display=1#duration=7&start=2022-08-19&changeover=5
Brookside Lodge,866,was £1189,"Defford, Worcestershire",4,2,No,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-Gloucestershire-Defford-Br/Brookside-Lodge-1048507.html?_hsearch=220406624df6dd7b335&_price=866&_display=1#duration=7&start=2022-08-19&changeover=5
Badgers Retreat,724,was £1004,"Tunstall near Hipswell, Yorkshire Dales - North",4,2,Yes,4.8,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Yorkshire-Dales-North-Tunstall-Grange/Badgers-Retreat-1083249.html?_hsearch=220406624df6dd7d425&_price=724&_display=1#duration=7&start=2022-08-19&changeover=5
Bear Lake Lodge,786,was £1077,"Belper, Peak District & Derbyshire Dales",4,2,Yes,4.9,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Clearsprings-Fm/Bear-Lake-Lodge-966433.html?_hsearch=220406624df6dd827f7&_price=786&_display=1#duration=7&start=2022-08-19&changeover=5
Heron,1201,was £1668,"Padstow, Cornwall",4,2,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cornwall-St-Issey/Heron-998308.html?_hsearch=220406624df6de737c6&_price=1201&_display=1#duration=7&start=2022-08-20&changeover=6
Orchard View,1654,was £2288,"Alfreton near Oakerthorpe, Peak District & Derbyshire Dales",6,3,Yes,4.9,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-Peak-District-Derbyshire-Dales-Oakerthorpe/Orchard-View-1005400.html?_hsearch=220406624df6de77d1b&_price=1654&_display=1#duration=7&start=2022-08-19&changeover=5
The Attic,887,was £1094,"Blackborough End near King's Lynn, Norfolk",4,2,No,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cambridgeshire-Blackborough-End/The-Attic-1072558.html?_hsearch=220406624df6de7c092&_price=887&_display=1#duration=7&start=2022-08-19&changeover=5
Gardener's Lodge,895,was £1104,"Nantwich, North Wales & Snowdonia",4,2,No,4.7,Hot Tub,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Peak-District-North-Wales-Snowdonia-Nantwich/Gardeners-Lodge-972095.html?_hsearch=220406624df6de80d67&_price=895&_display=1#duration=7&start=2022-08-19&changeover=5
5B Elmwood Grove,553,was £765,"Whitley Bay, Northumberland",2,1,Yes,5.0,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Northumbria-Northumberland-Whitley-Bay/5B-Elmwood-Grove-1050006.html?_hsearch=220406624df6de86d8e&_price=553&_display=1#duration=7&start=2022-08-19&changeover=5
Rockmead,2019,was £2729,"Chagford, Devon",8,4,Yes,,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Devon-Lettaford/Rockmead-975736.html?_hsearch=220406624df6de9b839&_price=2019&_display=1#duration=7&start=2022-08-19&changeover=5
The Byre,564,was £832,"Draycot Cerne near Christian Malford, Wiltshire",2,1,Yes,4.4,,Sykes,2022-04-06,www.sykescottages.co.uk/cottage/Cotswolds-DorsetSomerset-Draycot-Cerne/The-Byre-1058706.html?_hsearch=220406624df6dea0543&_price=564&_display=1#duration=7&start=2022-08-19&changeover=5
